time;Banddicke;Verzinnungsstation_ Kühlleistung;Bandbreite;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Reglerausgang Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;mm;m/min;mbar;mbar;°C;°C;°C;%;°C
12.06.2026 05:18:26.938787;0,43;6,43058;340;0;0,289352;0,434028;279,045;269,918;269,704;5,63129;270
12.06.2026 05:18:27.938787;0,43;6,41306;340;0;0,289352;0,434028;279,045;269,918;269,704;5,63129;270
12.06.2026 05:18:28.938787;0,43;6,44106;340;0;0,289352;0,434028;279,09;269,8;269,698;5,78523;270
12.06.2026 05:18:29.938787;0,43;6,36947;340;0;0,289352;0,434028;279,09;269,8;269,698;5,78523;270
12.06.2026 05:18:30.938787;0,43;6,36535;340;0;0,289352;0,434028;279,09;269,8;269,698;5,78523;270
12.06.2026 05:18:31.938787;0,43;6,46007;340;0;0,289352;0,434028;279,09;269,8;269,698;5,78523;270
12.06.2026 05:18:32.938787;0,43;6,43101;340;0;0,289352;0,434028;279,16;269,995;269,696;3,77199;270
12.06.2026 05:18:33.938787;0,43;6,50819;340;0;0,289352;0,434028;279,16;269,995;269,696;3,77199;270
12.06.2026 05:18:34.938787;0,43;6,50123;340;0;0,289352;0,434028;279,16;269,995;269,696;3,77199;270
12.06.2026 05:18:35.938787;0,43;6,48859;340;0;0,289352;0,434028;279,16;269,995;269,696;3,77199;270
12.06.2026 05:18:36.938787;0,43;6,45496;340;0;0,289352;0,434028;279,284;270,108;269,695;4,63145;270
12.06.2026 05:18:37.938787;0,43;6,41952;340;0;0,289352;0,434028;279,284;270,108;269,695;4,63145;270
12.06.2026 05:18:38.938787;0,43;6,36885;340;0;0,289352;0,434028;279,284;270,108;269,695;4,63145;270
12.06.2026 05:18:39.938787;0,43;6,43916;340;0;0,289352;0,434028;279,284;270,108;269,695;4,63145;270
12.06.2026 05:18:40.938787;0,43;5,97876;340;0;0,289352;0,434028;279,256;269,965;269,693;4,74447;270
12.06.2026 05:18:41.938787;0,43;6,02804;340;0;0,434028;0,434028;279,256;269,965;269,693;4,74447;270
12.06.2026 05:18:42.938787;0,43;6,49809;340;0;0,289352;0,434028;279,256;269,965;269,693;4,74447;270
12.06.2026 05:18:43.938787;0,43;6,46957;340;0;0,289352;0,434028;279,256;269,965;269,693;4,74447;270
12.06.2026 05:18:44.938787;0,43;6,51613;340;0;0,289352;0,434028;279,302;269,865;269,687;5,32994;270
12.06.2026 05:18:45.938787;0,43;6,44793;340;0;0,434028;0,434028;279,302;269,865;269,687;5,32994;270
12.06.2026 05:18:46.938787;0,43;6,44577;340;0;0,434028;0,434028;279,302;269,865;269,687;5,32994;270
12.06.2026 05:18:47.938787;0,43;6,42115;340;0;0,289352;0,434028;279,302;269,865;269,687;5,32994;270
12.06.2026 05:18:48.938787;0,43;6,4598;340;0;0,434028;0,434028;279,358;269,8;269,681;5,68262;270
12.06.2026 05:18:49.938787;0,43;6,47908;340;0;0,434028;0,434028;279,358;269,8;269,681;5,68262;270
12.06.2026 05:18:50.938787;0,43;6,43112;340;0;0,434028;0,434028;279,358;269,8;269,681;5,68262;270
12.06.2026 05:18:51.938787;0,43;6,47908;340;0;0,434028;0,434028;279,358;269,8;269,681;5,68262;270
12.06.2026 05:18:52.938787;0,43;6,48859;340;0;0,434028;0,578704;279,39;269,8;269,678;5,28521;270
12.06.2026 05:18:53.938787;0,43;6,41872;340;0;0,289352;0,434028;279,39;269,8;269,678;5,28521;270
12.06.2026 05:18:54.938787;0,43;6,45605;340;0;0,289352;0,434028;279,39;269,8;269,678;5,28521;270
12.06.2026 05:18:55.938787;0,43;6,50732;340;0;0,289352;0,434028;279,39;269,8;269,678;5,28521;270
12.06.2026 05:18:56.938787;0,43;6,39198;340;0;0,434028;0,434028;279,506;269,8;269,675;5,23656;270
12.06.2026 05:18:57.938787;0,43;6,49365;340;0;0,434028;0,434028;279,506;269,8;269,675;5,23656;270
12.06.2026 05:18:58.938787;0,43;6,45376;340;0;0,289352;0,578704;279,506;269,8;269,675;5,23656;270
12.06.2026 05:18:59.938787;0,43;6,45457;340;0;0,289352;0,434028;279,506;269,8;269,675;5,23656;270
12.06.2026 05:19:00.938787;0,43;6,4822;340;0;0,434028;0,434028;279,587;269,812;269,672;5,05687;270
12.06.2026 05:19:01.938787;0,43;6,51097;340;0;0,434028;0,434028;279,587;269,812;269,672;5,05687;270
12.06.2026 05:19:02.938787;0,43;6,4942;340;0;0,289352;0,434028;279,587;269,812;269,672;5,05687;270
12.06.2026 05:19:03.938787;0,43;6,47418;340;0;0,434028;0,434028;279,587;269,812;269,672;5,05687;270
12.06.2026 05:19:04.938787;0,43;6,43666;340;0;0,289352;0,434028;279,684;269,805;269,673;5,29436;270
12.06.2026 05:19:05.938787;0,43;6,45026;340;0;0,434028;0,434028;279,684;269,805;269,673;5,29436;270
12.06.2026 05:19:06.938787;0,43;6,5076;340;0;0,289352;0,434028;279,684;269,805;269,673;5,29436;270
12.06.2026 05:19:07.938787;0,43;6,53638;340;0;0,289352;0,434028;279,684;269,805;269,673;5,29436;270
12.06.2026 05:19:08.938787;0,43;6,49809;340;0;0,289352;0,434028;279,749;269,888;269,67;4,26662;270
12.06.2026 05:19:09.938787;0,43;6,42142;340;0;0,434028;0,434028;279,749;269,888;269,67;4,26662;270
12.06.2026 05:19:10.938787;0,43;6,45442;340;0;0,289352;0,434028;279,749;269,888;269,67;4,26662;270
12.06.2026 05:19:11.938787;0,43;6,39284;340;0;0,434028;0,434028;279,749;269,888;269,67;4,26662;270
12.06.2026 05:19:12.938787;0,43;6,37424;340;0;0,434028;0,434028;279,811;269,992;269,673;4,50767;270
12.06.2026 05:19:13.938787;0,43;6,40363;340;0;0,289352;0,434028;279,811;269,992;269,673;4,50767;270
12.06.2026 05:19:14.938787;0,43;6,30483;340;0;0,434028;0,434028;279,811;269,992;269,673;4,50767;270
