Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandlänge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel
sec;mm;kW;°C;°C;°C;mm;mbar;mbar;m/min;°C;;m
13;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;"(( Pi() / ([11:7] * 0.001)) * (Pow(0.5 * [3:10], 2) - Pow(0.5 * 0.48, 2))) / [32:124]";nan
2523;0,5;140;292,839;265,198;275,2;340;0,289352;0,289352;0;265,172;;-7,76524
2524;0,5;140;292,708;265,227;275,2;340;0,289352;0,289352;0;265,196;;-7,76524
2525;0,5;140;292,708;265,213;275,2;340;0,289352;0,289352;0;265,22;;-7,76524
2526;0,5;139;292,839;265,184;275,2;340;0,289352;0,289352;0;265,243;;-7,76524
2527;0,5;140;292,954;265,169;275,2;340;0,289352;0,289352;0;265,276;;-7,76524
2528;0,5;140;292,954;265,14;275,2;340;0,289352;0,289352;0;265,302;;-7,76524
2529;0,5;140;292,766;265,155;275,2;340;0,289352;0,289352;0;265,33;;-7,76524
2530;0,5;140;292,679;265,242;275,2;340;0,289352;0,289352;0;265,361;;-7,76524
2531;0,5;140;292,694;265,22;275,2;340;0,289352;0,289352;0;265,388;;-7,76524
2532;0,5;140;292,853;265,205;275,2;340;0,289352;0,289352;0;265,421;;-7,76524
2533;0,5;139;292,954;265,299;275,2;340;0,289352;0,289352;0;265,477;;-7,76524
2534;0,5;140;293,519;265,524;275,2;340;0,289352;0,289352;0;265,546;;-7,76524
2535;0,5;139;292,998;265,509;275,2;340;0,289352;0,289352;0;265,585;;-7,76524
2536;0,5;139;292,94;265,495;275,2;340;0,289352;0,289352;0;265,633;;-7,76524
2537;0,5;139;292,969;265,538;275,2;340;0,289352;0,289352;0;265,697;;-7,76524
2538;0,5;139;293,041;265,567;275,2;340;0,289352;0,289352;0;265,76;;-7,76524
2539;0,5;140;293,084;265,553;275,2;340;0,289352;0,289352;0;265,813;;-7,76524
2540;0,5;140;293,157;265,545;275,2;340;0,289352;0,289352;0;265,868;;-7,76524
2541;0,5;139;293,186;265,502;275,2;340;0,289352;0,289352;0;265,93;;-7,76524
2542;0,5;140;293,142;265,488;275,2;340;0,289352;0,289352;0;265,991;;-7,76524
2543;0,5;139;293,027;265,451;275,2;340;0,289352;0,289352;0;266,031;;-7,76524
2544;0,5;139;292,925;265,451;275,2;340;0,289352;0,289352;0;266,081;;-7,76524
2545;0,5;141;293,432;265,524;275,2;340;0,289352;0,289352;0;266,135;;-7,76524
2546;0,5;139;293,504;265,755;275,2;340;0,289352;0,289352;0;266,179;;-7,76524
2547;0,5;140;293,562;265,741;275,2;340;0,289352;0,289352;0;266,228;;-7,76524
2548;0,5;140;293,634;265,719;275,2;340;0,289352;0,289352;0;266,274;;-7,76524
2549;0,5;139;293,2;265,712;275,2;340;0,289352;0,289352;0;266,333;;-7,76524
2550;0,5;139;293,62;265,683;275,2;340;0,289352;0,289352;-0,4608;266,384;;-7,76524
2551;0,5;140;293,49;265,661;275,2;340;0,289352;0,289352;-6,7072;266,431;;-7,76524
2552;0,5;139;293,388;265,676;275,2;340;0,289352;0,289352;-10;266,478;;-7,76524
2553;0,5;140;293,302;265,741;275,2;340;0,289352;0,289352;-10;266,519;;-7,76524
2554;0,5;139;293,764;265,748;275,2;340;0,289352;0,289352;-10;266,545;;-7,76524
2555;0,5;140;293,88;265,726;275,2;340;0,289352;0,289352;-10;266,579;;-7,76524
2556;0,5;140;293,895;266,095;275,2;340;0,289352;0,289352;-7,9328;266,587;;-7,76524
2557;0,5;140;293,938;266,052;275,2;340;0,144676;0,289352;0;266,592;;-7,76524
2558;0,5;140;293,924;266,037;275,2;340;0,289352;0,289352;0;266,619;;-7,76524
2559;0,5;140;293,793;265,835;275,2;340;0,289352;0,289352;0;266,631;;-7,76524
2560;0,5;140;293,663;266,066;275,2;340;0,289352;0,289352;0;266,638;;-7,76524
2561;0,5;139;293,779;266,117;275,2;340;0,289352;0,289352;0;266,648;;-7,76524
2562;0,5;139;294,488;266,124;275,2;340;0,289352;0,289352;0;266,654;;-7,76524
2563;0,5;139;294,488;266,11;275,2;340;0,289352;0,289352;0;266,661;;-7,76524
2564;0,5;139;294,416;266,088;275,2;340;0,289352;0,289352;0;266,674;;-7,76524
2565;0,5;139;294,343;266,088;275,2;340;0,289352;0,289352;0;266,689;;-7,76524
2566;0,5;139;294,198;266,052;275,2;340;0,289352;0,289352;0;266,702;;-7,76524
2567;0,5;139;294,068;266,052;275,2;340;0,289352;0,289352;0;266,714;;-7,76524
2568;0,5;139;294,792;266,211;275,2;340;0,289352;0,289352;0;266,724;;-7,76524
2569;0,5;139;294,907;266,247;275,2;340;0,289352;0,289352;0;266,733;;-7,76524
2570;0,5;139;294,994;266,262;275,2;340;0,289352;0,289352;0;266,741;;-7,76524
2571;0,5;139;294,965;266,24;275,2;340;0,289352;0,289352;0;266,748;;-7,76524
2572;0,5;139;294,85;266,218;275,2;340;0,289352;0,289352;0;266,757;;-7,76524
2573;0,5;139;295,052;266,168;275,2;340;0,289352;0,289352;0;266,769;;-7,76524
2574;0,5;139;295,587;266,196;275,2;340;0,289352;0,289352;0;266,784;;-7,76524
2575;0,5;139;295,718;266,24;275,2;340;0,289352;0,289352;0;266,797;;-7,76524
